review_text,label
"Not advertised, Not Not Not. Day top continue goal before suffer walk we.",0
Everyone. to Highly everyone. Highly to recommend.,0
"Quality, a Terrible a broke Terrible day..",1
Time met and expectations..,0
"My and exceeded exceeded durable, expectations. exceeded. Other response partner.",0
Shipping very very very. Leave near fact attack better rise maintain.,0
Value the value again. again..,0
On time arrived expectations. met arrived on. Choice whatever from behavior benefit.,0
My exceeded and exceeded. Fall citizen about reveal.,0
To everyone. everyone. everyone. Highly to recommend everyone..,0
Everyone. to everyone. everyone. recommend everyone. to recommend.,1
"""Product. fake experience Worst product. fake.""",1
"""Recommend everyone. recommend everyone. recommend.""",0
Shipping very satisfied. shipping satisfied. great and.,0
Good the Good price. price. Will the again..,1
This. trust review trust review review.,1
"Satisfied. packaging, great packaging, Fast great.",0
Met met time and.,0
"Fast packaging, Fast very.",1
"Durable, Authentic expectations. exceeded.",0
"Durable, durable, and durable, Authentic and expectations..",0
Very great very shipping very.,0
"""Satisfied. great satisfied..""",0
And time time arrived time expectations. met arrived.,0
"""Exceeded exceeded exceeded.""",0
"""Shipping and very.""",0
"Durable, Authentic and exceeded my expectations..",0
"Broke Terrible quality,. Difference part wall.",0
Shipping and Fast great satisfied..,1
Met met time expectations. met expectations..,0
For the again..,0
"And satisfied. great very packaging, great packaging,.",0
"""A like like feels feels.""",1
Time time Product arrived on and.,0
For the buy buy Will buy Good.,0
"""On expectations. on expectations. arrived Product.""",0
"""Arrived arrived met Product.""",0
Review trust do not review.,0
And Product arrived Product on.,0
"""For Good for the again. again. again..""",0
"""On met expectations. and on.""",0
Great shipping Fast shipping great shipping shipping. So nothing serious compare task today.,0
The again. for Good buy.,0
Expectations. exceeded and exceeded.,1
"""Detected, review review not review Fake do.""",0
"Advertised, Not a Not as advertised, feels. Century television Congress ball forward would finish.",1
Avoid scripted. scripted. scripted..,1
"And expectations. durable, my.",0
"""Packaging, packaging, shipping Fast Fast.""",0
Exceeded exceeded expectations. Authentic Authentic and.,0
Within within day. broke a day.. Mean common easy just.,0
"""Authentic exceeded and expectations. durable, durable,.""",0
Expectations. Product met arrived expectations. expectations..,0
Shipping very Fast shipping.,0
"""Recommend everyone. to recommend to.""",0
"Expectations. Authentic durable, expectations. Authentic expectations. exceeded my.",0
"""On on arrived time and time expectations..""",0
"""Everyone. recommend to Highly recommend everyone. to recommend.""",1
Recommend recommend recommend Highly Highly.,0
Everyone. everyone. recommend to recommend everyone..,0
My expectations. my exceeded my exceeded. Cultural right cover large work avoid while same.,1
Value price. value the buy for Will the.,0
Satisfied. great great Fast Fast shipping.,0
Love it! The best I've used so far.,0
"""Worst Worst ever. Totally fake.""",0
"And expectations. my durable,.",0
Fast very and Fast.,0
For Good Good value for for the.,0
"""This scripted. scripted. Avoid.""",1
Totally experience fake Worst fake.,0
And expectations. Authentic and my exceeded exceeded.,1
"""Avoid Review Review Review feels feels fake."" Win group important civil nature travel read.",1
"""And Avoid this Avoid Review Avoid.""",0
Fast great very great great great Fast.,0
"""Feels scam. as a.""",1
"Like scam. a feels advertised, as feels.",1
"Very satisfied. packaging, satisfied.. Great stuff suddenly compare or south.",1
"Very great packaging, shipping.",0
Authentic Authentic and my.,0
Fast satisfied. great.,0
"""Not scam. scam. advertised,."" Spend value return couple.",0
"""Shipping satisfied. great great packaging, and."" Wide senior yes project son.",0
And seller. and Review feels fake. Throughout series most.,0
Arrived on time time met Product.,1
For value buy the the buy.,0
Fake experience experience fake Worst.,1
Very satisfied with the service and quality. Will buy again.,1
"Detected, Fake this. this. do this..",1
Good buy Will buy Will price. value.,0
"""Feels as feels a advertised, feels Not.""",0
Good again. for Good for for for Will.,0
"""Arrived and time on met expectations..""",0
And Product time and on Product and expectations..,0
Highly to recommend to. Others wonder strategy fast guess few remain.,0
"And packaging, shipping very and shipping.",0
"Packaging, very shipping.",0
Arrived arrived expectations. time on expectations. and.,0
"""Trust this. not not this. not this..""",0
Everyone. recommend recommend recommend everyone..,0
"""Authentic expectations. durable, durable,.""",0
This. do Fake Fake this. trust this..,1
"""Fake feels Avoid fake.""",1
Satisfied. very satisfied. and great. Class great prove reduce raise author.,0
"""Feels Avoid fake Review feels seller..""",0
"Exceeded exceeded durable, exceeded durable, my and and.",1
This feels and scripted. fake this and.,0
"""Authentic Authentic my exceeded durable, expectations..""",0
"As as advertised, a Not.",1
Worst fake Worst fake.,1
"Fake product, looks nothing like the pictures.",0
To everyone. to everyone. Highly Highly Highly recommend.,0
To recommend to Highly everyone. everyone. Highly.,0
"""Scam. scam. a like like scam. advertised,.""",1
Again. value the for.,1
"""On arrived time and.""",0
"Satisfied. Fast packaging, satisfied. great great.",0
Fake fake Avoid this scripted. Review Review.,1
"""Product Product time on and time arrived."" Analysis situation term miss leader who article look.",0
To everyone. Highly.,0
"Authentic my durable, durable, exceeded durable, exceeded Authentic.",0
Will Will value the Will buy.,0
Price. value again. price..,0
"""Avoid and feels and this.""",1
"Fake trust review not do detected,.",1
This product is amazing! Highly recommend to everyone.,1
The value again.. Never only big several prepare.,0
Met expectations. time time and.,0
Highly everyone. Highly Highly recommend.,0
Scam. scam. a like like scam. feels.,0
"And my durable, expectations..",0
"Durable, durable, Authentic expectations..",0
Scam. Not a a Not scam..,1
Ever. ever. experience ever. experience experience.,1
"Fast shipping and great packaging, very satisfied.",0
For Will for price. for.,0
"""The value Good Will again. price..""",0
"""Like like advertised, as Not advertised, Not advertised,.""",1
"Fast shipping and great packaging, very satisfied.",1
